customer_id,sim_id,handset_id,activated_at,deactivated_at,status,company_name
CUST_012,SIM0007110,H26746566,2023-06-22 00:00:00,,active,OtherCo Ltd
CUST_010,SIM0008870,H94606686,2024-12-29 00:00:00,,active,OtherCo Ltd
CUST_007,SIM0004265,H66284998,2024-03-22 00:00:00,,suspended,OtherCo Ltd
CUST_011,SIM0004658,H75239045,2025-01-17 00:00:00,,active,OtherCo Ltd
CUST_003,SIM0011084,H87498371,2025-05-22 00:00:00,,active,Britannia Mobile Ltd
CUST_012,SIM0004416,H13213794,2023-10-31 00:00:00,,active,OtherCo Ltd
CUST_008,SIM0011427,H72100828,2024-06-07 00:00:00,,active,OtherCo Ltd
CUST_007,SIM0002802,H36302682,2024-03-13 00:00:00,,active,OtherCo Ltd
CUST_018,SIM0001458,H62648402,2025-01-24 00:00:00,,active,OtherCo Ltd
CUST_005,SIM0000480,H29652762,2024-01-04 00:00:00,,active,SkyConnect Wireless
CUST_014,SIM0006424,H21817394,2025-02-17 00:00:00,,active,OtherCo Ltd
CUST_005,SIM0006378,H23676142,2024-01-20 00:00:00,,suspended,SkyConnect Wireless
CUST_013,SIM0006530,H39778393,2024-07-29 00:00:00,,suspended,OtherCo Ltd
CUST_006,SIM0008132,H90778732,2023-03-18 00:00:00,,active,OtherCo Ltd
CUST_017,SIM0008330,H20612264,2023-03-31 00:00:00,,active,OtherCo Ltd
CUST_002,SIM0000815,H39545503,2023-06-10 00:00:00,,suspended,GlobalNet Communications
CUST_004,SIM0007056,H55465109,2025-02-24 00:00:00,,active,NextWave Telecom
CUST_006,SIM0007672,H86046090,2023-06-23 00:00:00,,active,OtherCo Ltd
CUST_004,SIM0008548,H23843390,2023-02-07 00:00:00,,active,NextWave Telecom
CUST_016,SIM0003474,H23953485,2024-01-08 00:00:00,,active,OtherCo Ltd
CUST_014,SIM0005103,H13287050,2024-06-18 00:00:00,,active,OtherCo Ltd
CUST_002,SIM0009208,H74598777,2024-11-29 00:00:00,,active,GlobalNet Communications
CUST_023,SIM0000768,H60792698,2023-07-31 00:00:00,,suspended,OtherCo Ltd
CUST_024,SIM0001333,H95438961,2023-01-21 00:00:00,,active,OtherCo Ltd
CUST_021,SIM0001227,H62393978,2023-04-12 00:00:00,,active,OtherCo Ltd
CUST_016,SIM0007151,H34207226,2023-08-12 00:00:00,,active,OtherCo Ltd
CUST_022,SIM0008860,H73606478,2025-02-24 00:00:00,,active,OtherCo Ltd
CUST_009,SIM0009839,H18894496,2025-02-19 00:00:00,,active,OtherCo Ltd
CUST_010,SIM0010128,H51427893,2023-05-30 00:00:00,2023-07-08 00:00:00,active,OtherCo Ltd
CUST_019,SIM0009933,H89030280,2025-03-18 00:00:00,,active,OtherCo Ltd
CUST_009,SIM0001671,H37940580,2024-05-30 00:00:00,,active,OtherCo Ltd
CUST_017,SIM0005445,H80073188,2023-06-16 00:00:00,,active,OtherCo Ltd
CUST_008,SIM0009542,H14195050,2024-10-26 00:00:00,2025-08-31 00:00:00,active,OtherCo Ltd
CUST_001,SIM0002185,H64579079,2024-11-20 00:00:00,,active,TelecomOne PLC
CUST_013,SIM0002331,H39782832,2023-04-14 00:00:00,,active,OtherCo Ltd
CUST_021,SIM0007643,H65950845,2023-03-15 00:00:00,,active,OtherCo Ltd
CUST_017,SIM0010693,H70651782,2023-06-07 00:00:00,,active,OtherCo Ltd
CUST_006,SIM0001840,H89698898,2023-05-22 00:00:00,,active,OtherCo Ltd
CUST_006,SIM0011119,H71203217,2024-07-10 00:00:00,,active,OtherCo Ltd
CUST_012,SIM0010961,H66511886,2025-03-07 00:00:00,,suspended,OtherCo Ltd
CUST_017,SIM0004486,H65766100,2024-03-04 00:00:00,,active,OtherCo Ltd
CUST_013,SIM0007444,H95521485,2024-04-15 00:00:00,,active,OtherCo Ltd
CUST_003,SIM0003653,H46702139,2023-04-05 00:00:00,,active,Britannia Mobile Ltd
CUST_022,SIM0011878,H32333944,2025-07-29 00:00:00,,active,OtherCo Ltd
CUST_016,SIM0011871,H72206243,2024-01-26 00:00:00,,active,OtherCo Ltd
CUST_007,SIM0007070,H80431447,2023-11-02 00:00:00,,active,OtherCo Ltd
CUST_019,SIM0011813,H29985742,2023-03-06 00:00:00,,active,OtherCo Ltd
CUST_014,SIM0000934,H44707822,2023-12-12 00:00:00,,active,OtherCo Ltd
CUST_002,SIM0004284,H34742196,2024-08-27 00:00:00,,active,GlobalNet Communications
CUST_017,SIM0011993,H73091993,2025-02-09 00:00:00,2025-07-27 00:00:00,active,OtherCo Ltd
CUST_016,SIM0000090,H42419371,2024-10-01 00:00:00,2025-08-31 00:00:00,active,OtherCo Ltd
CUST_004,SIM0002266,H13730120,2023-10-19 00:00:00,,active,NextWave Telecom
CUST_017,SIM0003801,H50509927,2023-11-21 00:00:00,,active,OtherCo Ltd
CUST_001,SIM0009270,H54469529,2024-06-21 00:00:00,,active,TelecomOne PLC
CUST_009,SIM0000736,H32658524,2025-07-24 00:00:00,2025-08-31 00:00:00,active,OtherCo Ltd
CUST_018,SIM0010231,H12860114,2025-01-14 00:00:00,,active,OtherCo Ltd
CUST_015,SIM0000117,H51555828,2025-03-06 00:00:00,,active,OtherCo Ltd
CUST_016,SIM0004419,H23136460,2024-04-24 00:00:00,,active,OtherCo Ltd
CUST_005,SIM0001401,H60320650,2024-03-09 00:00:00,2024-09-03 00:00:00,active,SkyConnect Wireless
CUST_023,SIM0006507,H65861499,2024-08-08 00:00:00,,active,OtherCo Ltd
CUST_014,SIM0003319,H58486563,2024-02-27 00:00:00,,active,OtherCo Ltd
CUST_001,SIM0002763,H25856642,2023-11-10 00:00:00,,active,TelecomOne PLC
CUST_008,SIM0002027,H33242780,2024-04-14 00:00:00,2024-07-12 00:00:00,active,OtherCo Ltd
CUST_010,SIM0005831,H40115959,2023-03-20 00:00:00,,active,OtherCo Ltd
CUST_022,SIM0010264,H69391996,2025-02-18 00:00:00,,active,OtherCo Ltd
CUST_004,SIM0004450,H11805451,2024-04-23 00:00:00,,active,NextWave Telecom
CUST_013,SIM0004782,H41509812,2024-02-09 00:00:00,,active,OtherCo Ltd
CUST_004,SIM0002580,H10993986,2023-05-01 00:00:00,,active,NextWave Telecom
CUST_005,SIM0003538,H44184541,2024-06-26 00:00:00,,active,SkyConnect Wireless
CUST_019,SIM0001491,H39781516,2023-11-04 00:00:00,,active,OtherCo Ltd
CUST_010,SIM0003800,H47376870,2024-01-16 00:00:00,,active,OtherCo Ltd
CUST_017,SIM0011280,H59755603,2023-11-22 00:00:00,,active,OtherCo Ltd
CUST_012,SIM0010560,H94631079,2023-02-16 00:00:00,,active,OtherCo Ltd
CUST_010,SIM0011989,H64595576,2023-04-01 00:00:00,,active,OtherCo Ltd
CUST_002,SIM0006549,H55756980,2024-10-26 00:00:00,,suspended,GlobalNet Communications
CUST_023,SIM0004735,H74867885,2025-06-12 00:00:00,2025-07-17 00:00:00,active,OtherCo Ltd
CUST_011,SIM0006640,H28562857,2024-06-09 00:00:00,,active,OtherCo Ltd
CUST_009,SIM0001688,H25682985,2023-03-15 00:00:00,,active,OtherCo Ltd
CUST_021,SIM0011225,H41680181,2023-11-25 00:00:00,,active,OtherCo Ltd
CUST_019,SIM0009397,H62973458,2025-06-18 00:00:00,,active,OtherCo Ltd
CUST_005,SIM0011299,H83856933,2023-02-03 00:00:00,2024-04-23 00:00:00,active,SkyConnect Wireless
CUST_009,SIM0008768,H59137201,2025-01-17 00:00:00,,active,OtherCo Ltd
CUST_001,SIM0005105,H88549579,2024-05-07 00:00:00,,suspended,TelecomOne PLC
CUST_022,SIM0009144,H64429309,2024-01-21 00:00:00,,active,OtherCo Ltd
CUST_009,SIM0008397,H66824568,2023-09-03 00:00:00,2024-03-01 00:00:00,active,OtherCo Ltd
CUST_018,SIM0005136,H35116651,2025-07-28 00:00:00,,active,OtherCo Ltd
CUST_001,SIM0012216,H23418192,2025-01-07 00:00:00,,active,TelecomOne PLC
CUST_016,SIM0006629,H98679470,2025-01-05 00:00:00,,active,OtherCo Ltd
CUST_023,SIM0005645,H14321649,2024-08-05 00:00:00,,active,OtherCo Ltd
